id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,language,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,82,2020s,uplifting;bright,english,False
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020s,focused;dreamy,instrumental,False
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,68,2010s,aggressive;driving,english,False
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,40,2020s,peaceful;dreamy,instrumental,False
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,75,2020s,pumped;confident,english,False
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,30,2010s,dreamy;introspective,instrumental,False
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,45,1990s,cozy;nostalgic,instrumental,False
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,60,1980s,nostalgic;moody,instrumental,False
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,50,2020s,focused;calm,instrumental,False
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,65,2010s,uplifting;warm,english,False
11,Concrete Skyline,MC Vantage,hip-hop,confident,0.68,95,0.62,0.81,0.15,70,2020s,confident;gritty,english,True
12,Iron Fever,Grave Circuit,metal,angry,0.97,168,0.32,0.55,0.03,58,2000s,aggressive;intense,english,True
13,Autumn Sonata,Elena Voss,classical,melancholy,0.25,66,0.30,0.20,0.95,35,1990s,melancholy;reflective,instrumental,False
14,Backroad Sunset,Wyatt Cole,country,nostalgic,0.52,100,0.68,0.58,0.55,48,2000s,nostalgic;warm,english,False
15,Velvet Whisper,Simone Aisha,r&b,romantic,0.45,88,0.72,0.66,0.40,62,2010s,romantic;smooth,english,False
16,Campfire Letters,Willow Hart,folk,warm,0.30,75,0.66,0.42,0.88,38,1990s,warm;nostalgic,english,False
17,Neon Tide,Pulse Theory,house,euphoric,0.88,126,0.83,0.90,0.08,72,2020s,euphoric;energetic,instrumental,False
18,Island Drift,Coral Static,reggae,playful,0.55,92,0.75,0.70,0.45,52,2000s,playful;breezy,english,False
